2017-Dec-26 10:53:22.199209 INFO    [Blockchain] Failed to get output keys for tx with amount = 4.00000000 and count indexes 3
2017-Dec-26 10:53:22.199209 INFO    [Blockchain] Failed to check ring signature for tx e69f9d4d76f4e6b87523c9ccd2f1835efe9515ad42910b44ccb31928353ce950
2017-Dec-26 10:53:22.246009 INFO    [Blockchain] Wrong index in transaction inputs: 36935, expected maximum 35936
2017-Dec-26 10:53:22.261609 INFO    [Blockchain] Failed to get output keys for tx with amount = 100.00000000 and count indexes 3
2017-Dec-26 10:53:22.261609 INFO    [Blockchain] Failed to check ring signature for tx 32ffcef220ef2e55a880c876dff4d5916821df0191d28c9023b47f4f513992be
2017-Dec-26 10:53:22.277209 INFO    [Blockchain] Wrong index in transaction inputs: 5418, expected maximum 5378
2017-Dec-26 10:53:22.277209 INFO    [Blockchain] Failed to get output keys for tx with amount = 900.00000000 and count indexes 3
2017-Dec-26 10:53:22.292809 INFO    [Blockchain] Failed to check ring signature for tx 7e04c582594c688d64c690646aad81f3f52168524cd991b3f60c3f2d739195ce
2017-Dec-26 10:53:22.308409 INFO    [Blockchain] Wrong index in transaction inputs: 5380, expected maximum 5307
2017-Dec-26 10:53:22.324009 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00080000 and count indexes 3
2017-Dec-26 10:53:22.324009 INFO    [Blockchain] Failed to check ring signature for tx a0ea6c32cfa98d01aeb6978b8fc286bf461cdebbee891b97981b6f65f23b0e22
2017-Dec-26 10:53:22.324009 INFO    [Blockchain] Wrong index in transaction inputs: 38327, expected maximum 36458
2017-Dec-26 10:53:22.339609 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.06000000 and count indexes 3
2017-Dec-26 10:53:22.339609 INFO    [Blockchain] Failed to check ring signature for tx acc50d0d4bedbbc801d0e7075c044e7b29d305fddff38b653bbd1614e5d88bbf
2017-Dec-26 10:53:22.355209 INFO    [Blockchain] Wrong index in transaction inputs: 14645, expected maximum 14471
2017-Dec-26 10:53:22.355209 INFO    [Blockchain] Failed to get output keys for tx with amount = 80.00000000 and count indexes 3
2017-Dec-26 10:53:22.370809 INFO    [Blockchain] Failed to check ring signature for tx 1bae787f944f1a33c6cc050afd31d13b6a602a118493e891c72bad8c43cc31fe
2017-Dec-26 10:53:22.370809 INFO    [Blockchain] Wrong index in transaction inputs: 5926, expected maximum 5857
2017-Dec-26 10:53:22.386409 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00010000 and count indexes 3
2017-Dec-26 10:53:22.386409 INFO    [Blockchain] Failed to check ring signature for tx 6863b494ee37f0e2c73f9c75c035e5d4feab136558397695f64c46181711a662
2017-Dec-26 10:53:22.386409 INFO    [Blockchain] Wrong index in transaction inputs: 37152, expected maximum 36722
2017-Dec-26 10:53:22.402009 INFO    [Blockchain] Failed to get output keys for tx with amount = 1000.00000000 and count indexes 3
2017-Dec-26 10:53:22.402009 INFO    [Blockchain] Failed to check ring signature for tx deb0432caadf86851c3f170b8dc13f2099119f2065496c734d4ae5663f47fc96
2017-Dec-26 10:53:22.417609 INFO    [Blockchain] Wrong index in transaction inputs: 5358, expected maximum 5296
2017-Dec-26 10:53:22.417609 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00006000 and count indexes 3
2017-Dec-26 10:53:22.417609 INFO    [Blockchain] Failed to check ring signature for tx 41a797ef6ce521096ee69ae2f164b43f013a0386c0dddda8b76c84f3eae63f43
2017-Dec-26 10:53:22.464409 INFO    [Blockchain] Wrong index in transaction inputs: 16863, expected maximum 16631
2017-Dec-26 10:53:22.480009 INFO    [Blockchain] Failed to get output keys for tx with amount = 70.00000000 and count indexes 3
2017-Dec-26 10:53:22.480009 INFO    [Blockchain] Failed to check ring signature for tx 35c5d9f310871ae7865f65ace04a0d83378418a74af51012279d170cf1d3165f
2017-Dec-26 10:53:22.495609 INFO    [Blockchain] Wrong index in transaction inputs: 25584, expected maximum 25017
2017-Dec-26 10:53:22.495609 INFO    [Blockchain] Failed to get output keys for tx with amount = 30.00000000 and count indexes 3
2017-Dec-26 10:53:22.495609 INFO    [Blockchain] Failed to check ring signature for tx 8753e9e90f081bed0f7230bfe239fa21f8586e70aabdb4c384e903a3b38f47f5
2017-Dec-26 10:53:22.511209 INFO    [Blockchain] Wrong index in transaction inputs: 40055, expected maximum 38246
2017-Dec-26 10:53:22.511209 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.30000000 and count indexes 3
2017-Dec-26 10:53:22.526809 INFO    [Blockchain] Failed to check ring signature for tx 19bac5cc183721cef1e5dcb4a75607dab3f17d81594b49e3f70d84d8d549bae5
2017-Dec-26 10:53:22.542409 INFO    [Blockchain] Wrong index in transaction inputs: 29, expected maximum 28
2017-Dec-26 10:53:22.542409 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000093 and count indexes 3
2017-Dec-26 10:53:22.558009 INFO    [Blockchain] Failed to check ring signature for tx d8fa7b8a42c590812ef3595074e088564a1e3c08e0001ef10866c098ce535154
2017-Dec-26 10:53:22.558009 INFO    [Blockchain] Wrong index in transaction inputs: 38667, expected maximum 36747
2017-Dec-26 10:53:22.573610 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.03000000 and count indexes 3
2017-Dec-26 10:53:22.573610 INFO    [Blockchain] Failed to check ring signature for tx cac0ca89ec4376b7e37f3d8a00db530cc5745dc3a713ffb35bf3bd96b805c854
2017-Dec-26 10:53:22.604810 INFO    [Blockchain] Wrong index in transaction inputs: 37132, expected maximum 36722
2017-Dec-26 10:53:22.620410 INFO    [Blockchain] Failed to get output keys for tx with amount = 1000.00000000 and count indexes 3
